"GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","fecha","NA"
"g10-19","Dona / Mujer",10.4,21455,0.1,2,20210328,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26424,0,1,20210328,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28583,0.2,7,20210328,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35485,0.7,23,20210328,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31353,2.2,70,20210328,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20223,5.9,185,20210328,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13788,18.6,585,20210328,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11094,44.4,1396,20210328,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4296,27.9,877,20210328,"2021-06-18"
"g0-9","Home / Hombre",7.8,14693,0,0,20210328,"2021-06-18"
"g10-19","Home / Hombre",11.4,21554,0,1,20210328,"2021-06-18"
"g20-29","Home / Hombre",12.9,24378,0.1,3,20210328,"2021-06-18"
"g30-39","Home / Hombre",13.4,25385,0.2,9,20210328,"2021-06-18"
"g40-49","Home / Hombre",17.1,32498,1.2,47,20210328,"2021-06-18"
"g50-59","Home / Hombre",15.3,28966,4.4,177,20210328,"2021-06-18"
"g60-69","Home / Hombre",10.6,20090,13.6,542,20210328,"2021-06-18"
"g70-79","Home / Hombre",6.8,12821,27.9,1111,20210328,"2021-06-18"
"g80-89","Home / Hombre",4,7494,38.4,1526,20210328,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1687,14.1,562,20210328,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14312,0,0,20210327,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21442,0.1,2,20210327,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26406,0,1,20210327,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28569,0.2,7,20210327,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35474,0.7,23,20210327,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31346,2.2,70,20210327,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20216,5.9,185,20210327,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13786,18.6,585,20210327,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11090,44.4,1396,20210327,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4296,27.9,877,20210327,"2021-06-18"
"g0-9","Home / Hombre",7.8,14686,0,0,20210327,"2021-06-18"
"g10-19","Home / Hombre",11.4,21546,0,1,20210327,"2021-06-18"
"g20-29","Home / Hombre",12.9,24368,0.1,3,20210327,"2021-06-18"
"g30-39","Home / Hombre",13.4,25374,0.2,9,20210327,"2021-06-18"
"g40-49","Home / Hombre",17.1,32484,1.2,47,20210327,"2021-06-18"
"g50-59","Home / Hombre",15.3,28957,4.4,177,20210327,"2021-06-18"
"g60-69","Home / Hombre",10.6,20083,13.6,542,20210327,"2021-06-18"
"g70-79","Home / Hombre",6.8,12815,27.9,1111,20210327,"2021-06-18"
"g80-89","Home / Hombre",4,7491,38.4,1526,20210327,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1687,14.1,562,20210327,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14310,0,0,20210326,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21437,0.1,2,20210326,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26400,0,1,20210326,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28564,0.2,7,20210326,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35459,0.7,23,20210326,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31339,2.2,70,20210326,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20209,5.9,185,20210326,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13778,18.6,585,20210326,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11090,44.4,1395,20210326,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4296,27.8,875,20210326,"2021-06-18"
"g0-9","Home / Hombre",7.8,14682,0,0,20210326,"2021-06-18"
"g10-19","Home / Hombre",11.4,21541,0,1,20210326,"2021-06-18"
"g20-29","Home / Hombre",12.9,24359,0.1,3,20210326,"2021-06-18"
"g30-39","Home / Hombre",13.4,25366,0.2,9,20210326,"2021-06-18"
"g40-49","Home / Hombre",17.1,32469,1.2,47,20210326,"2021-06-18"
"g50-59","Home / Hombre",15.3,28951,4.5,177,20210326,"2021-06-18"
"g60-69","Home / Hombre",10.6,20072,13.6,542,20210326,"2021-06-18"
"g70-79","Home / Hombre",6.8,12812,28,1111,20210326,"2021-06-18"
"g80-89","Home / Hombre",4,7489,38.3,1522,20210326,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1687,14.1,562,20210326,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14302,0,0,20210325,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21423,0.1,2,20210325,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26385,0,1,20210325,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28547,0.2,7,20210325,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35445,0.7,23,20210325,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31321,2.2,70,20210325,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20205,5.9,185,20210325,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13776,18.6,584,20210325,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11087,44.4,1392,20210325,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4295,27.9,874,20210325,"2021-06-18"
"g0-9","Home / Hombre",7.7,14672,0,0,20210325,"2021-06-18"
"g10-19","Home / Hombre",11.4,21531,0,1,20210325,"2021-06-18"
"g20-29","Home / Hombre",12.9,24342,0.1,3,20210325,"2021-06-18"
"g30-39","Home / Hombre",13.4,25352,0.2,9,20210325,"2021-06-18"
"g40-49","Home / Hombre",17.1,32454,1.2,48,20210325,"2021-06-18"
"g50-59","Home / Hombre",15.3,28942,4.5,177,20210325,"2021-06-18"
"g60-69","Home / Hombre",10.6,20057,13.6,541,20210325,"2021-06-18"
"g70-79","Home / Hombre",6.8,12807,28,1111,20210325,"2021-06-18"
"g80-89","Home / Hombre",4,7489,38.2,1518,20210325,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1687,14.1,561,20210325,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14295,0,0,20210324,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21410,0.1,2,20210324,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26380,0,1,20210324,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28540,0.2,7,20210324,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35443,0.7,22,20210324,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31316,2.2,68,20210324,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20202,5.9,185,20210324,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13773,18.6,583,20210324,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11085,44.4,1389,20210324,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4294,27.8,871,20210324,"2021-06-18"
"g0-9","Home / Hombre",7.7,14667,0,0,20210324,"2021-06-18"
"g10-19","Home / Hombre",11.4,21524,0,1,20210324,"2021-06-18"
"g20-29","Home / Hombre",12.9,24334,0.1,3,20210324,"2021-06-18"
"g30-39","Home / Hombre",13.4,25352,0.2,9,20210324,"2021-06-18"
"g40-49","Home / Hombre",17.1,32446,1.2,48,20210324,"2021-06-18"
"g50-59","Home / Hombre",15.3,28939,4.4,176,20210324,"2021-06-18"
"g60-69","Home / Hombre",10.6,20052,13.6,539,20210324,"2021-06-18"
"g70-79","Home / Hombre",6.8,12805,28,1110,20210324,"2021-06-18"
"g80-89","Home / Hombre",4,7489,38.2,1515,20210324,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1687,14.1,560,20210324,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14281,0,0,20210323,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21394,0.1,2,20210323,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26359,0,1,20210323,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28505,0.2,7,20210323,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35419,0.7,22,20210323,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31294,2.2,68,20210323,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20185,5.9,185,20210323,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13765,18.6,582,20210323,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11077,44.4,1387,20210323,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4290,27.8,869,20210323,"2021-06-18"
"g0-9","Home / Hombre",7.8,14658,0,0,20210323,"2021-06-18"
"g10-19","Home / Hombre",11.4,21500,0,1,20210323,"2021-06-18"
"g20-29","Home / Hombre",12.9,24309,0.1,3,20210323,"2021-06-18"
"g30-39","Home / Hombre",13.4,25330,0.2,9,20210323,"2021-06-18"
"g40-49","Home / Hombre",17.1,32414,1.2,48,20210323,"2021-06-18"
"g50-59","Home / Hombre",15.3,28917,4.5,176,20210323,"2021-06-18"
"g60-69","Home / Hombre",10.6,20039,13.6,538,20210323,"2021-06-18"
"g70-79","Home / Hombre",6.8,12796,28,1106,20210323,"2021-06-18"
"g80-89","Home / Hombre",4,7481,38.3,1512,20210323,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1688,14.1,558,20210323,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14280,0,0,20210322,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21390,0.1,2,20210322,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26357,0,1,20210322,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28499,0.2,7,20210322,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35415,0.7,22,20210322,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31295,2.1,66,20210322,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20186,5.9,185,20210322,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13762,18.6,581,20210322,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11077,44.4,1386,20210322,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4290,27.9,869,20210322,"2021-06-18"
"g0-9","Home / Hombre",7.8,14662,0,0,20210322,"2021-06-18"
"g10-19","Home / Hombre",11.4,21503,0,1,20210322,"2021-06-18"
"g20-29","Home / Hombre",12.9,24305,0.1,3,20210322,"2021-06-18"
"g30-39","Home / Hombre",13.4,25326,0.2,9,20210322,"2021-06-18"
"g40-49","Home / Hombre",17.1,32409,1.2,48,20210322,"2021-06-18"
"g50-59","Home / Hombre",15.3,28912,4.4,174,20210322,"2021-06-18"
"g60-69","Home / Hombre",10.6,20036,13.6,537,20210322,"2021-06-18"
"g70-79","Home / Hombre",6.8,12793,28,1105,20210322,"2021-06-18"
"g80-89","Home / Hombre",4,7480,38.3,1512,20210322,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1688,14.1,558,20210322,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14277,0,0,20210321,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21381,0.1,2,20210321,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26351,0,1,20210321,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28491,0.2,7,20210321,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35400,0.7,22,20210321,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31277,2.1,66,20210321,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20176,5.9,185,20210321,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13760,18.6,578,20210321,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11075,44.4,1384,20210321,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4290,27.9,869,20210321,"2021-06-18"
"g0-9","Home / Hombre",7.8,14655,0,0,20210321,"2021-06-18"
"g10-19","Home / Hombre",11.4,21490,0,1,20210321,"2021-06-18"
"g20-29","Home / Hombre",12.9,24298,0.1,3,20210321,"2021-06-18"
"g30-39","Home / Hombre",13.4,25313,0.2,9,20210321,"2021-06-18"
"g40-49","Home / Hombre",17.1,32396,1.2,48,20210321,"2021-06-18"
"g50-59","Home / Hombre",15.3,28898,4.3,171,20210321,"2021-06-18"
"g60-69","Home / Hombre",10.6,20030,13.5,533,20210321,"2021-06-18"
"g70-79","Home / Hombre",6.8,12790,28.1,1105,20210321,"2021-06-18"
"g80-89","Home / Hombre",4,7477,38.3,1509,20210321,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1688,14.2,558,20210321,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14276,0,0,20210320,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21375,0.1,2,20210320,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26345,0,1,20210320,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28487,0.2,7,20210320,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35398,0.7,22,20210320,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31270,2.1,66,20210320,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20175,5.9,185,20210320,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13760,18.6,578,20210320,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11072,44.4,1384,20210320,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4290,27.9,869,20210320,"2021-06-18"
"g0-9","Home / Hombre",7.8,14649,0,0,20210320,"2021-06-18"
"g10-19","Home / Hombre",11.4,21487,0,1,20210320,"2021-06-18"
"g20-29","Home / Hombre",12.9,24295,0.1,3,20210320,"2021-06-18"
"g30-39","Home / Hombre",13.4,25312,0.2,9,20210320,"2021-06-18"
"g40-49","Home / Hombre",17.1,32392,1.2,48,20210320,"2021-06-18"
"g50-59","Home / Hombre",15.3,28895,4.3,171,20210320,"2021-06-18"
"g60-69","Home / Hombre",10.6,20026,13.5,533,20210320,"2021-06-18"
"g70-79","Home / Hombre",6.8,12790,28.1,1105,20210320,"2021-06-18"
"g80-89","Home / Hombre",4,7477,38.3,1509,20210320,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1688,14.2,558,20210320,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14268,0,0,20210319,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21363,0.1,2,20210319,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26334,0,1,20210319,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28481,0.2,7,20210319,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35384,0.7,21,20210319,"2021-06-18"
"g50-59","Dona / Mujer",15.1,31263,2.1,65,20210319,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20170,5.9,184,20210319,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13759,18.6,578,20210319,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11068,44.4,1380,20210319,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4289,28,869,20210319,"2021-06-18"
"g0-9","Home / Hombre",7.8,14646,0,0,20210319,"2021-06-18"
"g10-19","Home / Hombre",11.4,21478,0,1,20210319,"2021-06-18"
"g20-29","Home / Hombre",12.9,24288,0.1,3,20210319,"2021-06-18"
"g30-39","Home / Hombre",13.4,25295,0.2,9,20210319,"2021-06-18"
"g40-49","Home / Hombre",17.1,32379,1.2,48,20210319,"2021-06-18"
"g50-59","Home / Hombre",15.3,28886,4.3,170,20210319,"2021-06-18"
"g60-69","Home / Hombre",10.6,20016,13.5,531,20210319,"2021-06-18"
"g70-79","Home / Hombre",6.8,12785,28.1,1103,20210319,"2021-06-18"
"g80-89","Home / Hombre",4,7476,38.4,1508,20210319,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1688,14.2,558,20210319,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14258,0,0,20210318,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21355,0.1,2,20210318,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26319,0,1,20210318,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28473,0.2,7,20210318,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35372,0.7,21,20210318,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31256,2.1,65,20210318,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20166,5.9,184,20210318,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13756,18.6,578,20210318,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11064,44.4,1380,20210318,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4289,28,869,20210318,"2021-06-18"
"g0-9","Home / Hombre",7.7,14634,0,0,20210318,"2021-06-18"
"g10-19","Home / Hombre",11.4,21467,0,1,20210318,"2021-06-18"
"g20-29","Home / Hombre",12.9,24280,0.1,3,20210318,"2021-06-18"
"g30-39","Home / Hombre",13.4,25283,0.2,9,20210318,"2021-06-18"
"g40-49","Home / Hombre",17.1,32367,1.2,48,20210318,"2021-06-18"
"g50-59","Home / Hombre",15.3,28874,4.3,170,20210318,"2021-06-18"
"g60-69","Home / Hombre",10.6,20012,13.5,531,20210318,"2021-06-18"
"g70-79","Home / Hombre",6.8,12778,28.1,1103,20210318,"2021-06-18"
"g80-89","Home / Hombre",4,7473,38.4,1508,20210318,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1687,14.2,558,20210318,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14242,0,0,20210317,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21346,0.1,2,20210317,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26306,0,1,20210317,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28463,0.2,7,20210317,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35361,0.7,21,20210317,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31245,2.1,65,20210317,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20154,5.9,184,20210317,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13751,18.6,577,20210317,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11059,44.4,1379,20210317,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4288,27.9,867,20210317,"2021-06-18"
"g0-9","Home / Hombre",7.7,14628,0,0,20210317,"2021-06-18"
"g10-19","Home / Hombre",11.4,21454,0,1,20210317,"2021-06-18"
"g20-29","Home / Hombre",12.9,24266,0.1,3,20210317,"2021-06-18"
"g30-39","Home / Hombre",13.4,25274,0.2,9,20210317,"2021-06-18"
"g40-49","Home / Hombre",17.1,32353,1.2,47,20210317,"2021-06-18"
"g50-59","Home / Hombre",15.3,28857,4.3,169,20210317,"2021-06-18"
"g60-69","Home / Hombre",10.6,20004,13.5,529,20210317,"2021-06-18"
"g70-79","Home / Hombre",6.8,12774,28.1,1101,20210317,"2021-06-18"
"g80-89","Home / Hombre",4,7474,38.4,1505,20210317,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1687,14.2,558,20210317,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14238,0,0,20210316,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21339,0.1,2,20210316,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26296,0,1,20210316,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28460,0.2,7,20210316,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35351,0.7,21,20210316,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31239,2.1,65,20210316,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20142,5.9,183,20210316,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13746,18.6,577,20210316,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11056,44.4,1376,20210316,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4287,28,867,20210316,"2021-06-18"
"g0-9","Home / Hombre",7.7,14619,0,0,20210316,"2021-06-18"
"g10-19","Home / Hombre",11.4,21446,0,1,20210316,"2021-06-18"
"g20-29","Home / Hombre",12.9,24255,0.1,3,20210316,"2021-06-18"
"g30-39","Home / Hombre",13.4,25267,0.2,9,20210316,"2021-06-18"
"g40-49","Home / Hombre",17.1,32343,1.2,47,20210316,"2021-06-18"
"g50-59","Home / Hombre",15.3,28845,4.3,167,20210316,"2021-06-18"
"g60-69","Home / Hombre",10.6,19997,13.5,528,20210316,"2021-06-18"
"g70-79","Home / Hombre",6.8,12766,28.1,1099,20210316,"2021-06-18"
"g80-89","Home / Hombre",4,7471,38.3,1499,20210316,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1686,14.3,558,20210316,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14234,0,0,20210315,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21329,0.1,2,20210315,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26283,0,1,20210315,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28446,0.2,7,20210315,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35324,0.7,21,20210315,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31216,2.1,65,20210315,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20128,5.9,183,20210315,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13735,18.6,577,20210315,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11051,44.4,1373,20210315,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4285,28,865,20210315,"2021-06-18"
"g0-9","Home / Hombre",7.7,14616,0,0,20210315,"2021-06-18"
"g10-19","Home / Hombre",11.4,21433,0,1,20210315,"2021-06-18"
"g20-29","Home / Hombre",12.9,24243,0.1,3,20210315,"2021-06-18"
"g30-39","Home / Hombre",13.4,25255,0.2,9,20210315,"2021-06-18"
"g40-49","Home / Hombre",17.1,32322,1.2,47,20210315,"2021-06-18"
"g50-59","Home / Hombre",15.3,28832,4.3,166,20210315,"2021-06-18"
"g60-69","Home / Hombre",10.6,19991,13.4,524,20210315,"2021-06-18"
"g70-79","Home / Hombre",6.8,12758,28.1,1097,20210315,"2021-06-18"
"g80-89","Home / Hombre",4,7468,38.4,1499,20210315,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1685,14.3,557,20210315,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14231,0,0,20210314,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21324,0.1,2,20210314,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26274,0,1,20210314,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28439,0.2,7,20210314,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35315,0.7,21,20210314,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31209,2.1,65,20210314,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20122,5.9,181,20210314,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13734,18.7,577,20210314,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11048,44.3,1368,20210314,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4286,28,865,20210314,"2021-06-18"
"g0-9","Home / Hombre",7.7,14610,0,0,20210314,"2021-06-18"
"g10-19","Home / Hombre",11.4,21429,0,1,20210314,"2021-06-18"
"g20-29","Home / Hombre",12.9,24240,0.1,3,20210314,"2021-06-18"
"g30-39","Home / Hombre",13.4,25252,0.2,9,20210314,"2021-06-18"
"g40-49","Home / Hombre",17.1,32318,1.2,47,20210314,"2021-06-18"
"g50-59","Home / Hombre",15.3,28824,4.3,166,20210314,"2021-06-18"
"g60-69","Home / Hombre",10.6,19986,13.4,523,20210314,"2021-06-18"
"g70-79","Home / Hombre",6.8,12754,28.1,1095,20210314,"2021-06-18"
"g80-89","Home / Hombre",4,7467,38.4,1499,20210314,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1685,14.3,557,20210314,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14223,0,0,20210313,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21317,0.1,2,20210313,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26264,0,1,20210313,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28432,0.2,7,20210313,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35302,0.7,21,20210313,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31202,2.1,65,20210313,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20118,5.9,181,20210313,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13729,18.7,577,20210313,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11045,44.3,1368,20210313,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4284,28,865,20210313,"2021-06-18"
"g0-9","Home / Hombre",7.7,14603,0,0,20210313,"2021-06-18"
"g10-19","Home / Hombre",11.4,21425,0,1,20210313,"2021-06-18"
"g20-29","Home / Hombre",12.9,24235,0.1,3,20210313,"2021-06-18"
"g30-39","Home / Hombre",13.4,25248,0.2,9,20210313,"2021-06-18"
"g40-49","Home / Hombre",17.1,32312,1.2,47,20210313,"2021-06-18"
"g50-59","Home / Hombre",15.3,28819,4.3,166,20210313,"2021-06-18"
"g60-69","Home / Hombre",10.6,19979,13.4,523,20210313,"2021-06-18"
"g70-79","Home / Hombre",6.8,12747,28.1,1095,20210313,"2021-06-18"
"g80-89","Home / Hombre",4,7469,38.4,1499,20210313,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1684,14.3,557,20210313,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14213,0,0,20210312,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21302,0.1,2,20210312,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26243,0,1,20210312,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28419,0.2,7,20210312,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35279,0.7,21,20210312,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31180,2.1,65,20210312,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20110,5.9,181,20210312,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13725,18.7,577,20210312,"2021-06-18"
"g80-89","Dona / Mujer",5.4,11036,44.3,1368,20210312,"2021-06-18"
"g90 o más","Dona / Mujer",2.1,4284,28,864,20210312,"2021-06-18"
"g0-9","Home / Hombre",7.7,14591,0,0,20210312,"2021-06-18"
"g10-19","Home / Hombre",11.4,21410,0,1,20210312,"2021-06-18"
"g20-29","Home / Hombre",12.9,24222,0.1,3,20210312,"2021-06-18"
"g30-39","Home / Hombre",13.4,25236,0.2,9,20210312,"2021-06-18"
"g40-49","Home / Hombre",17.1,32284,1.2,47,20210312,"2021-06-18"
"g50-59","Home / Hombre",15.3,28806,4.3,166,20210312,"2021-06-18"
"g60-69","Home / Hombre",10.6,19969,13.4,523,20210312,"2021-06-18"
"g70-79","Home / Hombre",6.8,12741,28.1,1094,20210312,"2021-06-18"
"g80-89","Home / Hombre",4,7459,38.4,1498,20210312,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1684,14.3,556,20210312,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14205,0,0,20210311,"2021-06-18"
"g10-19","Dona / Mujer",10.4,21287,0.1,2,20210311,"2021-06-18"
"g20-29","Dona / Mujer",12.8,26221,0,1,20210311,"2021-06-18"
"g30-39","Dona / Mujer",13.8,28403,0.2,7,20210311,"2021-06-18"
"g40-49","Dona / Mujer",17.1,35247,0.7,21,20210311,"2021-06-18"
"g50-59","Dona / Mujer",15.2,31159,2.1,65,20210311,"2021-06-18"
"g60-69","Dona / Mujer",9.8,20093,5.9,181,20210311,"2021-06-18"
"g70-79","Dona / Mujer",6.7,13713,18.7,576,20210311,"2021-06-18"
