"fecha","GrupoEdad","Sexo","CasosAcum","DefAcum","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
"2020-06-01","g40-49","Hombre",1115,7,5,0,0,0,0,0,5003769
"2020-06-01","g50-59","Hombre",1244,27,4,0,0,0,0,0,5003769
"2020-06-01","g60-69","Hombre",1273,107,4,0.333333333333329,0,0,0,0,5003769
"2020-06-01","g70-79","Hombre",1150,260,2.66666666666674,0,0,0,0,0,5003769
"2020-06-01","g80-89","Hombre",830,289,0.666666666666629,0,0,0,0,0,5003769
"2020-06-01","g90 o mas","Hombre",221,95,0,0,0,0,0,0,5003769
"2020-06-01","g0-9","Mujer",59,0,1,0,0,0,0,0,5003769
"2020-06-01","g10-19","Mujer",112,1,2,0,0,0,0,0,5003769
"2020-06-01","g20-29","Mujer",681,0,4.33333333333337,0,0,0,0,0,5003769
"2020-06-01","g30-39","Mujer",1100,1,4,0,0,0,0,0,5003769
"2020-06-01","g40-49","Mujer",1471,4,5,0,0,0,0,0,5003769
"2020-06-01","g50-59","Mujer",1650,14,6.33333333333326,0,0,0,0,0,5003769
"2020-06-01","g60-69","Mujer",1215,43,2.66666666666674,0,0,0,0,0,5003769
"2020-06-01","g70-79","Mujer",995,124,4,0,0,0,0,0,5003769
"2020-06-01","g80-89","Mujer",1174,290,1,0,0,0,0,0,5003769
"2020-06-01","g90 o mas","Mujer",598,163,1,0.666666666666657,0,0,0,0,5003769
"2020-06-02","g0-9","Hombre",73,0,4,0,0,0,0,0,5003769
"2020-06-02","g10-19","Hombre",102,0,6,0,0,0,0,0,5003769
"2020-06-02","g20-29","Hombre",379,1,5,0,0,0,0,0,5003769
"2020-06-02","g30-39","Hombre",779,6,10,0,0,0,0,0,5003769
"2020-06-02","g40-49","Hombre",1123,7,8,0,0,0,0,0,5003769
"2020-06-02","g50-59","Hombre",1257,27,13,0,0,0,0,0,5003769
"2020-06-02","g60-69","Hombre",1283,107,10,0,0,0,0,0,5003769
"2020-06-02","g70-79","Hombre",1157,260,7,0,0,0,0,0,5003769
"2020-06-02","g80-89","Hombre",834,289,4,0,0,0,0,0,5003769
"2020-06-02","g90 o mas","Hombre",221,95,0,0,0,0,0,0,5003769
"2020-06-02","g0-9","Mujer",61,0,2,0,0,0,0,0,5003769
"2020-06-02","g10-19","Mujer",119,1,7,0,0,0,0,0,5003769
"2020-06-02","g20-29","Mujer",686,0,5,0,0,0,0,0,5003769
"2020-06-02","g30-39","Mujer",1112,1,12,0,0,0,0,0,5003769
"2020-06-02","g40-49","Mujer",1484,4,13,0,0,0,0,0,5003769
"2020-06-02","g50-59","Mujer",1660,14,10,0,0,0,0,0,5003769
"2020-06-02","g60-69","Mujer",1227,43,12,0,0,0,0,0,5003769
"2020-06-02","g70-79","Mujer",1003,124,8,0,0,0,0,0,5003769
"2020-06-02","g80-89","Mujer",1179,290,5,0,0,0,0,0,5003769
"2020-06-02","g90 o mas","Mujer",599,163,1,0,0,0,0,0,5003769
"2020-06-03","g0-9","Hombre",77,0,4,0,0,0,0,0,5003769
"2020-06-03","g10-19","Hombre",104,0,2,0,0,0,0,0,5003769
"2020-06-03","g20-29","Hombre",386,1,7,0,0,0,0,0,5003769
"2020-06-03","g30-39","Hombre",786,6,7,0,0,0,0,0,5003769
"2020-06-03","g40-49","Hombre",1130,7,7,0,0,0,0,0,5003769
"2020-06-03","g50-59","Hombre",1260,27,3,0,0,0,0,0,5003769
"2020-06-03","g60-69","Hombre",1288,108,5,1,0,0,0,0,5003769
"2020-06-03","g70-79","Hombre",1161,261,4,1,0,0,0,0,5003769
"2020-06-03","g80-89","Hombre",836,291,2,2,0,0,0,0,5003769
"2020-06-03","g90 o mas","Hombre",221,95,0,0,0,0,0,0,5003769
"2020-06-03","g0-9","Mujer",61,0,0,0,0,0,0,0,5003769
