"fecha","GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","NA.","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
2020-05-29,"g10-19","Mujer",1.2,106,0.2,1,"2021-07-15",7,0,0,0,0,0,5067031
2020-05-29,"g20-29","Mujer",7.5,668,0,0,"2021-07-15",5,0,0,0,0,0,5067031
2020-05-29,"g30-39","Mujer",12.1,1088,0.2,1,"2021-07-15",13,0,0,0,0,0,5067031
2020-05-29,"g40-49","Mujer",16.2,1456,0.6,4,"2021-07-15",15,0,0,0,0,0,5067031
2020-05-29,"g50-59","Mujer",18.2,1631,2.2,14,"2021-07-15",10,1,0,0,0,0,5067031
2020-05-29,"g60-69","Mujer",13.5,1207,6.7,43,"2021-07-15",13,1,0,0,0,0,5067031
2020-05-29,"g70-79","Mujer",11,983,19.4,124,"2021-07-15",2,0,0,0,0,0,5067031
2020-05-29,"g80-89","Mujer",13.1,1171,45.5,290,"2021-07-15",3,1,0,0,0,0,5067031
2020-05-29,"g90 o mas","Mujer",6.6,595,25.2,161,"2021-07-15",2,1,0,0,0,0,5067031
2020-05-30,"g0-9","Hombre",0.9,67,0,0,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-30,"g10-19","Hombre",1.3,89,0,0,"2021-07-15",2,0,0,0,0,0,5067031
2020-05-30,"g20-29","Hombre",5.2,372,0.1,1,"2021-07-15",2,0,0,0,0,0,5067031
2020-05-30,"g30-39","Hombre",10.7,761,0.8,6,"2021-07-15",5,0,0,0,0,0,5067031
2020-05-30,"g40-49","Hombre",15.6,1104,0.9,7,"2021-07-15",4,0,0,0,0,0,5067031
2020-05-30,"g50-59","Hombre",17.4,1236,3.4,27,"2021-07-15",4,0,0,0,0,0,5067031
2020-05-30,"g60-69","Hombre",17.8,1266,13.5,107,"2021-07-15",5,1,0,0,0,0,5067031
2020-05-30,"g70-79","Hombre",16.2,1147,32.8,260,"2021-07-15",5,0,0,0,0,0,5067031
2020-05-30,"g80-89","Hombre",11.7,830,36.5,289,"2021-07-15",2,0,0,0,0,0,5067031
2020-05-30,"g90 o mas","Hombre",3.1,221,12,95,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-30,"g0-9","Mujer",0.7,59,0,0,"2021-07-15",3,0,0,0,0,0,5067031
2020-05-30,"g10-19","Mujer",1.2,107,0.2,1,"2021-07-15",1,0,0,0,0,0,5067031
2020-05-30,"g20-29","Mujer",7.5,673,0,0,"2021-07-15",5,0,0,0,0,0,5067031
2020-05-30,"g30-39","Mujer",12.1,1091,0.2,1,"2021-07-15",3,0,0,0,0,0,5067031
